t_Android;t_unix;light;a
122027046996341;1764839971078;239.51764;3
122027105001028;1764839971078;239.51764;3
122027105025768;1764839971078;239.51764;3
122027105043163;1764839971078;239.51764;3
122027399098528;1764839971343;239.51764;3
122027750919986;1764839971697;239.51764;3
122028102978007;1764839972047;239.51764;3
122028458568111;1764839972402;239.51764;3
122028807007903;1764839972753;239.51764;3
122029159002955;1764839973103;239.51764;3
122029510889361;1764839973455;239.51764;3
122029862913788;1764839973825;239.51764;3
122030214871132;1764839974159;239.51764;3
122030566835507;1764839974517;239.51764;3
122030919020559;1764839974863;239.51764;3
122031270860195;1764839975226;239.51764;3
122031623048007;1764839975571;239.51764;3
122031975083505;1764839975933;239.51764;3
122032327082984;1764839976288;239.51764;3
122032678885380;1764839976623;239.51764;3
122033030831317;1764839976979;239.51764;3
122033382823505;1764839977348;239.51764;3
