t_Android;t_unix;x;y;z;a
122027094049413;1764839971078;17.325;-12.6;-40.575;3
122027104049413;1764839971078;17.325;-12.6;-40.575;3
122027114049413;1764839971078;17.325;-12.6;-40.575;3
122027124049413;1764839971078;17.325;-12.6;-40.575;3
122027134049413;1764839971082;17.325;-12.6;-40.575;3
122027144049413;1764839971137;17.325;-12.6;-40.575;3
122027154049413;1764839971137;17.325;-12.6;-40.575;3
122027164049413;1764839971137;17.325;-12.6;-40.575;3
122027174049413;1764839971137;17.325;-12.6;-40.575;3
122027184049413;1764839971137;17.325;-12.6;-40.575;3
122027194049413;1764839971163;17.325;-12.6;-40.575;3
122027204049413;1764839971163;17.325;-12.6;-40.575;3
122027214049413;1764839971163;17.325;-12.6;-40.575;3
122027224049413;1764839971170;17.325;-12.6;-40.575;3
122027234049413;1764839971180;17.325;-12.6;-40.575;3
122027244049413;1764839971190;17.325;-12.6;-40.575;3
122027254049413;1764839971200;17.325;-12.6;-40.575;3
122027264049413;1764839971209;17.325;-12.6;-40.575;3
122027274049413;1764839971222;17.325;-12.6;-40.575;3
122027284049413;1764839971230;17.325;-12.6;-40.575;3
122027294049413;1764839971240;17.325;-12.6;-40.575;3
122027304049413;1764839971250;17.325;-12.6;-40.575;3
122027314049413;1764839971260;17.325;-12.6;-40.575;3
122027324049413;1764839971270;17.325;-12.6;-40.575;3
122027334049413;1764839971279;17.325;-12.6;-40.575;3
122027344049413;1764839971291;17.325;-12.6;-40.575;3
122027354049413;1764839971299;17.325;-12.6;-40.575;3
122027364049413;1764839971309;17.325;-12.6;-40.575;3
122027374049413;1764839971319;17.325;-12.6;-40.575;3
122027384049413;1764839971329;17.325;-12.6;-40.575;3
122027394049413;1764839971339;17.325;-12.6;-40.575;3
122027404049413;1764839971349;17.325;-12.6;-40.575;3
122027414049413;1764839971359;17.325;-12.6;-40.575;3
122027424049413;1764839971370;17.325;-12.6;-40.575;3
122027434049413;1764839971379;17.325;-12.6;-40.575;3
122027444049413;1764839971390;17.325;-12.6;-40.575;3
122027454049413;1764839971399;17.325;-12.6;-40.575;3
122027464049413;1764839971409;17.325;-12.6;-40.575;3
122027474049413;1764839971420;17.325;-12.6;-40.575;3
122027484049413;1764839971431;17.325;-12.6;-40.575;3
122027494049413;1764839971439;17.325;-12.6;-40.575;3
122027504049413;1764839971451;17.325;-12.6;-40.575;3
122027514049413;1764839971459;17.325;-12.6;-40.575;3
122027524049413;1764839971469;17.325;-12.6;-40.575;3
122027534049413;1764839971480;17.325;-12.6;-40.575;3
122027544049413;1764839971491;17.325;-12.6;-40.575;3
122027554049413;1764839971499;17.325;-12.6;-40.575;3
122027564049413;1764839971509;17.325;-12.6;-40.575;3
122027574049413;1764839971520;17.325;-12.6;-40.575;3
122027584049413;1764839971530;17.325;-12.6;-40.575;3
122027594049413;1764839971540;17.325;-12.6;-40.575;3
122027604049413;1764839971551;17.325;-12.6;-40.575;3
122027614049413;1764839971561;17.325;-12.6;-40.575;3
122027624049413;1764839971571;17.325;-12.6;-40.575;3
122027634049413;1764839971580;17.325;-12.6;-40.575;3
122027644049413;1764839971591;17.325;-12.6;-40.575;3
122027654049413;1764839971599;17.325;-12.6;-40.575;3
122027664049413;1764839971611;17.325;-12.6;-40.575;3
122027674049413;1764839971620;17.325;-12.6;-40.575;3
122027684049413;1764839971642;17.325;-12.6;-40.575;3
122027694049413;1764839971642;17.325;-12.6;-40.575;3
122027704049413;1764839971649;17.325;-12.6;-40.575;3
122027714049413;1764839971659;17.325;-12.6;-40.575;3
122027724049413;1764839971669;17.325;-12.6;-40.575;3
122027734049413;1764839971679;17.325;-12.6;-40.575;3
