t_Android;t_unix;x;y;z;a
123784321894052;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784323882177;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784325870302;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784327858427;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784329846552;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784331834677;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784333822802;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784335810927;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784337799052;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784339787177;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784341775302;1764841728287;2.2040305;-5.014329;-0.5466134;3
123784343763427;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784345751552;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784347739677;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784349727802;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784351715927;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784353704052;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784355692177;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784357680302;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784359668427;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784361656552;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784363644677;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784365632802;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784367620927;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784369609052;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784371597177;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784373585302;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784375573427;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784377561552;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784379549677;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784381537802;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784383525927;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784385514052;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784387502177;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784389490302;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784391478427;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784393466552;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784395454677;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784397442802;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784399430927;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784401419052;1764841728344;2.2040305;-5.014329;-0.5466134;3
123784403407177;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784405395302;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784407383427;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784409371552;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784411359677;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784413347906;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784415336136;1764841728359;2.2040305;-5.014329;-0.5466134;3
123784417324365;1764841728360;2.2040305;-5.014329;-0.5466134;3
123784419312594;1764841728362;2.2040305;-5.014329;-0.5466134;3
123784421300823;1764841728364;2.2040305;-5.014329;-0.5466134;3
123784423289052;1764841728366;2.2040305;-5.014329;-0.5466134;3
123784425277281;1764841728374;2.2040305;-5.014329;-0.5466134;3
123784427265511;1764841728374;2.2040305;-5.014329;-0.5466134;3
123784429253740;1764841728374;2.2040305;-5.014329;-0.5466134;3
123784431241969;1764841728374;2.2040305;-5.014329;-0.5466134;3
123784433230198;1764841728380;2.2040305;-5.014329;-0.5466134;3
123784435218427;1764841728380;2.2040305;-5.014329;-0.5466134;3
123784437206656;1764841728380;2.2040305;-5.014329;-0.5466134;3
123784439194886;1764841728381;2.2040305;-5.014329;-0.5466134;3
123784441183115;1764841728383;2.2040305;-5.014329;-0.5466134;3
123784443171344;1764841728387;2.2040305;-5.014329;-0.5466134;3
123784445159573;1764841728388;2.2040305;-5.014329;-0.5466134;3
123784447147802;1764841728389;2.2040305;-5.014329;-0.5466134;3
123784449136031;1764841728391;2.2040305;-5.014329;-0.5466134;3
123784451124261;1764841728395;2.2040305;-5.014329;-0.5466134;3
123784453112490;1764841728396;2.2040305;-5.014329;-0.5466134;3
123784455100719;1764841728398;2.2040305;-5.014329;-0.5466134;3
123784457088948;1764841728399;2.2040305;-5.014329;-0.5466134;3
123784459077177;1764841728403;2.2040305;-5.014329;-0.5466134;3
123784461065406;1764841728404;2.2040305;-5.014329;-0.5466134;3
123784463053636;1764841728405;2.2040305;-5.014329;-0.5466134;3
123784465041865;1764841728408;2.2040305;-5.014329;-0.5466134;3
123784467030094;1764841728412;2.2040305;-5.014329;-0.5466134;3
123784469018323;1764841728412;2.2040305;-5.014329;-0.5466134;3
123784471006552;1764841728413;2.2040305;-5.014329;-0.5466134;3
123784472994781;1764841728415;2.2040305;-5.014329;-0.5466134;3
123784474983011;1764841728425;2.2040305;-5.014329;-0.5466134;3
123784476971240;1764841728425;2.2040305;-5.014329;-0.5466134;3
123784478959469;1764841728425;2.2040305;-5.014329;-0.5466134;3
123784480947698;1764841728425;2.2040305;-5.014329;-0.5466134;3
123784482935927;1764841728425;2.2040305;-5.014329;-0.5466134;3
123784484924156;1764841728428;2.2040305;-5.014329;-0.5466134;3
123784486912386;1764841728429;2.2040305;-5.014329;-0.5466134;3
123784488900615;1764841728431;2.2040305;-5.014329;-0.5466134;3
123784490888844;1764841728433;2.2040305;-5.014329;-0.5466134;3
123784492877073;1764841728443;2.2040305;-5.014329;-0.5466134;3
123784494865302;1764841728443;2.2040305;-5.014329;-0.5466134;3
123784496853531;1764841728443;2.2040305;-5.014329;-0.5466134;3
123784498841761;1764841728443;2.2040305;-5.014329;-0.5466134;3
123784500829990;1764841728443;2.2040305;-5.014329;-0.5466134;3
123784502818219;1764841728445;2.2040305;-5.014329;-0.5466134;3
123784504806448;1764841728448;2.2040305;-5.014329;-0.5466134;3
123784506794677;1764841728449;2.2040305;-5.014329;-0.5466134;3
123784508782906;1764841728452;2.2040305;-5.014329;-0.5466134;3
123784510771136;1764841728453;2.2040305;-5.014329;-0.5466134;3
123784512759365;1764841728455;2.2040305;-5.014329;-0.5466134;3
123784514747490;1764841728457;2.2040305;-5.014329;-0.5466134;3
123784516735615;1764841728460;2.2040305;-5.014329;-0.5466134;3
123784518723740;1764841728461;2.2040305;-5.014329;-0.5466134;3
123784520711865;1764841728463;2.2040305;-5.014329;-0.5466134;3
123784522699990;1764841728465;2.2040305;-5.014329;-0.5466134;3
123784524688115;1764841728469;2.2040305;-5.014329;-0.5466134;3
123784526676240;1764841728469;2.2040305;-5.014329;-0.5466134;3
123784528664365;1764841728471;2.2040305;-5.014329;-0.5466134;3
123784530652490;1764841728473;2.2040305;-5.014329;-0.5466134;3
123784532640615;1764841728475;2.2040305;-5.014329;-0.5466134;3
123784534628740;1764841728477;2.2040305;-5.014329;-0.5466134;3
123784536616865;1764841728479;2.2040305;-5.014329;-0.5466134;3
123784538604990;1764841728481;2.2040305;-5.014329;-0.5466134;3
123784540593115;1764841728483;2.2040305;-5.014329;-0.5466134;3
123784542581240;1764841728485;2.2040305;-5.014329;-0.5466134;3
123784544569365;1764841728487;2.2040305;-5.014329;-0.5466134;3
123784546557490;1764841728489;2.2040305;-5.014329;-0.5466134;3
123784548545615;1764841728491;2.2040305;-5.014329;-0.5466134;3
123784550533740;1764841728493;2.2040305;-5.014329;-0.5466134;3
123784552521865;1764841728495;2.2040305;-5.014329;-0.5466134;3
123784554509990;1764841728497;2.2040305;-5.014329;-0.5466134;3
123784556498115;1764841728498;2.2040305;-5.014329;-0.5466134;3
123784558486240;1764841728501;2.2040305;-5.014329;-0.5466134;3
123784560474365;1764841728503;2.2040305;-5.014329;-0.5466134;3
123784562462490;1764841728505;2.2040305;-5.014329;-0.5466134;3
123784564450615;1764841728507;2.2040305;-5.014329;-0.5466134;3
123784566438740;1764841728510;2.2040305;-5.014329;-0.5466134;3
123784568426865;1764841728511;2.2040305;-5.014329;-0.5466134;3
123784570414990;1764841728513;2.2040305;-5.014329;-0.5466134;3
123784572403115;1764841728514;2.2040305;-5.014329;-0.5466134;3
123784574391240;1764841728517;2.2040305;-5.014329;-0.5466134;3
123784576379365;1764841728518;2.2040305;-5.014329;-0.5466134;3
123784578367490;1764841728520;2.2040305;-5.014329;-0.5466134;3
123784580355615;1764841728523;2.2040305;-5.014329;-0.5466134;3
123784582343740;1764841728525;2.2040305;-5.014329;-0.5466134;3
123784584331865;1764841728527;2.2040305;-5.014329;-0.5466134;3
123784586319990;1764841728529;2.2040305;-5.014329;-0.5466134;3
123784588308115;1764841728531;2.2040305;-5.014329;-0.5466134;3
123784590296240;1764841728533;2.2040305;-5.014329;-0.5466134;3
123784592284365;1764841728535;2.2040305;-5.014329;-0.5466134;3
123784594272490;1764841728537;2.2040305;-5.014329;-0.5466134;3
123784596260615;1764841728538;2.2040305;-5.014329;-0.5466134;3
123784598248740;1764841728540;2.2040305;-5.014329;-0.5466134;3
123784600236865;1764841728543;2.2040305;-5.014329;-0.5466134;3
123784602224990;1764841728544;2.2040305;-5.014329;-0.5466134;3
123784604213115;1764841728546;2.2040305;-5.014329;-0.5466134;3
123784606201344;1764841728548;2.2040305;-5.014329;-0.5466134;3
123784608189573;1764841728552;2.2040305;-5.014329;-0.5466134;3
123784610177802;1764841728552;2.2040305;-5.014329;-0.5466134;3
123784612166031;1764841728554;2.2040305;-5.014329;-0.5466134;3
123784614154261;1764841728556;2.2040305;-5.014329;-0.5466134;3
123784616142490;1764841728560;2.2040305;-5.014329;-0.5466134;3
123784618130719;1764841728560;2.2040305;-5.014329;-0.5466134;3
123784620118948;1764841728562;2.2040305;-5.014329;-0.5466134;3
123784622107177;1764841728564;2.2040305;-5.014329;-0.5466134;3
123784624095406;1764841728568;2.2040305;-5.014329;-0.5466134;3
123784626083636;1764841728570;2.2040305;-5.014329;-0.5466134;3
123784628071865;1764841728570;2.2040305;-5.014329;-0.5466134;3
123784630060094;1764841728572;2.2040305;-5.014329;-0.5466134;3
123784632048323;1764841728574;2.2040305;-5.014329;-0.5466134;3
123784634036552;1764841728576;2.2040305;-5.014329;-0.5466134;3
123784636024781;1764841728578;2.2040305;-5.014329;-0.5466134;3
123784638013011;1764841728580;2.2040305;-5.014329;-0.5466134;3
123784640001240;1764841728582;2.2040305;-5.014329;-0.5466134;3
123784641989469;1764841728586;2.2040305;-5.014329;-0.5466134;3
123784643977698;1764841728587;2.2040305;-5.014329;-0.5466134;3
123784645965927;1764841728588;2.2040305;-5.014329;-0.5466134;3
123784647954156;1764841728590;2.2040305;-5.014329;-0.5466134;3
123784649942386;1764841728592;2.2040305;-5.014329;-0.5466134;3
123784651930615;1764841728594;2.2040305;-5.014329;-0.5466134;3
123784653918844;1764841728596;2.2040305;-5.014329;-0.5466134;3
123784655907073;1764841728598;2.2040305;-5.014329;-0.5466134;3
123784657895302;1764841728600;2.2040305;-5.014329;-0.5466134;3
123784659883531;1764841728602;2.2040305;-5.014329;-0.5466134;3
123784661871761;1764841728604;2.2040305;-5.014329;-0.5466134;3
123784663859990;1764841728606;2.2040305;-5.014329;-0.5466134;3
123784665848219;1764841728608;2.2040305;-5.014329;-0.5466134;3
123784667836448;1764841728611;2.2040305;-5.014329;-0.5466134;3
123784669824677;1764841728612;2.2040305;-5.014329;-0.5466134;3
123784671812906;1764841728614;2.2040305;-5.014329;-0.5466134;3
123784673801136;1764841728616;2.2040305;-5.014329;-0.5466134;3
123784675789365;1764841728618;2.2040305;-5.014329;-0.5466134;3
123784677777594;1764841728620;2.2040305;-5.014329;-0.5466134;3
123784679765823;1764841728622;2.2040305;-5.014329;-0.5466134;3
123784681754052;1764841728624;2.2040305;-5.014329;-0.5466134;3
123784683742281;1764841728628;2.2040305;-5.014329;-0.5466134;3
