t_Android;t_unix;steps;a
123784730984625;1764841730282;1.0;3
123785891517959;1764841730285;1.0;3
123786410344625;1764841731274;1.0;3
123787133971292;1764841731276;1.0;3
123787693757959;1764841732270;1.0;3
123788239891292;1764841733268;1.0;3
123788840637959;1764841733268;1.0;3
123789291197959;1764841734257;1.0;3
123789973864625;1764841734259;1.0;3
123790410771292;1764841735276;1.0;3
123790929597959;1764841735276;1.0;3
123791407464625;1764841736272;1.0;3
123791885331292;1764841736275;1.0;3
123792199357959;1764841737266;1.0;3
123802985491292;1764841748555;1.0;3
123803709117959;1764841748563;1.0;3
123804309864625;1764841748563;1.0;3
123804869651292;1764841749595;1.0;3
123805429437959;1764841749595;1.0;3
123805661544625;1764841750587;1.0;3
123806344211292;1764841750587;1.0;3
123806985917959;1764841751576;1.0;3
123810085224625;1764841755919;1.0;3
123811928424625;1764841756920;1.0;3
123812570131292;1764841756920;1.0;3
123813088957959;1764841757913;1.0;3
123813730664625;1764841757913;1.0;3
123813962771292;1764841758917;1.0;3
123814563517959;1764841758917;1.0;3
123932910611037;1764841877462;1.0;3
123933197331037;1764841877466;1.0;3
123933757117704;1764841878464;1.0;3
123935190717704;1764841880467;1.0;3
123935832424370;1764841880467;1.0;3
123936064531037;1764841880467;1.0;3
123936433171037;1764841881494;1.0;3
123936951997704;1764841881494;1.0;3
123937279677704;1764841881494;1.0;3
123937511784370;1764841882478;1.0;3
123938276371037;1764841882478;1.0;3
123938508477704;1764841883482;1.0;3
123938986344370;1764841883482;1.0;3
123941676051037;1764841886452;1.0;3
123942945811037;1764841888477;1.0;3
123943341757704;1764841888487;1.0;3
123943874237704;1764841888487;1.0;3
123945157651037;1764841889478;1.0;3
123945840317704;1764841890474;1.0;3
123946195304370;1764841890474;1.0;3
123946714131037;1764841891460;1.0;3
123947232957704;1764841891464;1.0;3
123947983891037;1764841892466;1.0;3
123948270611037;1764841892466;1.0;3
123948680211118;1764841893445;1.0;3
123949239997785;1764841893447;1.0;3
123949799784451;1764841894448;1.0;3
123950195731118;1764841894448;1.0;3
123951342611118;1764841896477;1.0;3
123951902397785;1764841896480;1.0;3
123952516797785;1764841897467;1.0;3
123952994664451;1764841897481;1.0;3
123953636371118;1764841898471;1.0;3
123954237117785;1764841898471;1.0;3
123955029011118;1764841899456;1.0;3
123955424957785;1764841900465;1.0;3
123955793597785;1764841900465;1.0;3
123956189544451;1764841900465;1.0;3
123956640104451;1764841901447;1.0;3
123957281811118;1764841901449;1.0;3
123957554877785;1764841902475;1.0;3
123957950824451;1764841902480;1.0;3
123958278504451;1764841902480;1.0;3
123958551571118;1764841903479;1.0;3
123958838291118;1764841903479;1.0;3
123959753064451;1764841904473;1.0;3
123960230931118;1764841904473;1.0;3
123960517651118;1764841905470;1.0;3
123960845331118;1764841905470;1.0;3
123966388584451;1764841911463;1.0;3
123967235091118;1764841911463;1.0;3
123968026984451;1764841912459;1.0;3
123968750611118;1764841913470;1.0;3
123969023677785;1764841913470;1.0;3
123969392317785;1764841914454;1.0;3
123969842877785;1764841914454;1.0;3
123970156904451;1764841914454;1.0;3
123970757651118;1764841915441;1.0;3
123971836264451;1764841916482;1.0;3
123977843731118;1764841922438;1.0;3
123978157757785;1764841922439;1.0;3
123978430824451;1764841923480;1.0;3
123979154451118;1764841923480;1.0;3
123979632317785;1764841924478;1.0;3
123980192104451;1764841924478;1.0;3
123980874771118;1764841925465;1.0;3
123981311677785;1764841925470;1.0;3
123981598397785;1764841926455;1.0;3
123982158184451;1764841926457;1.0;3
123983154877785;1764841927459;1.0;3
123991674557785;1764841936452;1.0;3
123992111464451;1764841936452;1.0;3
123995115197785;1764841939472;1.0;3
123995715944451;1764841940455;1.0;3
123996275731118;1764841940455;1.0;3
123996753597785;1764841941455;1.0;3
123997354344451;1764841942454;1.0;3
123997886824451;1764841942454;1.0;3
123998951784451;1764841943437;1.0;3
123999320424451;1764841943438;1.0;3
123999989437785;1764841944494;1.0;3
124000508264451;1764841945474;1.0;3
124001027091118;1764841945474;1.0;3
124001545917785;1764841946468;1.0;3
124002064744451;1764841946468;1.0;3
124002556264451;1764841947469;1.0;3
124002993171118;1764841947469;1.0;3
124003675837785;1764841948459;1.0;3
124004317544451;1764841948459;1.0;3
124004672531118;1764841949444;1.0;3
124005382504451;1764841950442;1.0;3
124005751144451;1764841950452;1.0;3
124006024211118;1764841950452;1.0;3
124006392851118;1764841951475;1.0;3
124006679571118;1764841951497;1.0;3
124006993597785;1764841951497;1.0;3
124007321277785;1764841951497;1.0;3
124007635304451;1764841952469;1.0;3
124007949331118;1764841952469;1.0;3
124008509117763;1764841953466;1.0;3
124008986984429;1764841953468;1.0;3
124009505811096;1764841954471;1.0;3
124009983677763;1764841954471;1.0;3
124010598077763;1764841955453;1.0;3
124011034984429;1764841955473;1.0;3
124011635731096;1764841956445;1.0;3
124012113597763;1764841956448;1.0;3
124012714344429;1764841957437;1.0;3
124013192211096;1764841957438;1.0;3
124013751997763;1764841958473;1.0;3
124014434664429;1764841959485;1.0;3
124014803304429;1764841959485;1.0;3
124015281171096;1764841959485;1.0;3
124015950184429;1764841960459;1.0;3
124016509971096;1764841961473;1.0;3
124016987837763;1764841961473;1.0;3
124018680851096;1764841963443;1.0;3
124019390824429;1764841964440;1.0;3
124019718504429;1764841964458;1.0;3
124020319251096;1764841964458;1.0;3
124020797117763;1764841965483;1.0;3
124021548051096;1764841966467;1.0;3
124021875731096;1764841966468;1.0;3
124022517437763;1764841967462;1.0;3
124022954344429;1764841967465;1.0;3
124023514131096;1764841968458;1.0;3
124024073917763;1764841968458;1.0;3
124024674664429;1764841969454;1.0;3
124025111571096;1764841969458;1.0;3
124025835197763;1764841970442;1.0;3
124026149224429;1764841970446;1.0;3
124026722664429;1764841971481;1.0;3
124027200531096;1764841971481;1.0;3
124027910504429;1764841972480;1.0;3
124028197224429;1764841972482;1.0;3
124028879891096;1764841973470;1.0;3
124029234877763;1764841973470;1.0;3
124030026771096;1764841974459;1.0;3
124030313491096;1764841974460;1.0;3
124031064424429;1764841975457;1.0;3
124031392104429;1764841976448;1.0;3
124031951891096;1764841976451;1.0;3
124032429757763;1764841977456;1.0;3
124032989544429;1764841977456;1.0;3
124033426451096;1764841978479;1.0;3
124034068157763;1764841978479;1.0;3
124034505064429;1764841979483;1.0;3
124035105811096;1764841979483;1.0;3
124035597331096;1764841980480;1.0;3
124036198077763;1764841980480;1.0;3
124036634984429;1764841981459;1.0;3
124037235731096;1764841981459;1.0;3
124037713597763;1764841982475;1.0;3
124038314344429;1764841982475;1.0;3
124038792211096;1764841983451;1.0;3
124039392957763;1764841984455;1.0;3
124039802557763;1764841984455;1.0;3
124040553491096;1764841985476;1.0;3
124041072317763;1764841985480;1.0;3
124041509224429;1764841986471;1.0;3
124042109971096;1764841986471;1.0;3
124042628797763;1764841987471;1.0;3
124043311464429;1764841987471;1.0;3
124043721064429;1764841988458;1.0;3
124044239891096;1764841988460;1.0;3
124044799677763;1764841989454;1.0;3
124045318504429;1764841989476;1.0;3
124045837331096;1764841990458;1.0;3
124046465384429;1764841991444;1.0;3
124047066131096;1764841991444;1.0;3
124047639571096;1764841992475;1.0;3
124048117437763;1764841992477;1.0;3
124048759144429;1764841993482;1.0;3
124049318931096;1764841993482;1.0;3
124049714877763;1764841994466;1.0;3
124050424851096;1764841995462;1.0;3
124050902717763;1764841995467;1.0;3
124051558077763;1764841996466;1.0;3
124051994984429;1764841996466;1.0;3
124052636691096;1764841997450;1.0;3
124053196477763;1764841997459;1.0;3
124053988371096;1764841998450;1.0;3
124054548157763;1764841999482;1.0;3
124055312744429;1764841999482;1.0;3
124055845224429;1764842000482;1.0;3
124056159251096;1764842000482;1.0;3
124056596157763;1764842001473;1.0;3
124057155944429;1764842001473;1.0;3
124057633811096;1764842002465;1.0;3
124058152637763;1764842002465;1.0;3
124058685117763;1764842004446;1.0;3
124059122024429;1764842004448;1.0;3
124059640851096;1764842004448;1.0;3
124060159677763;1764842004448;1.0;3
124060719464429;1764842005443;1.0;3
124061156371096;1764842005465;1.0;3
124061757117763;1764842006487;1.0;3
124062194024429;1764842006487;1.0;3
124062835731096;1764842007471;1.0;3
124063504744429;1764842008478;1.0;3
124063750504429;1764842008478;1.0;3
124064228371096;1764842008478;1.0;3
124064883731096;1764842009463;1.0;3
124065320637763;1764842009464;1.0;3
124065593704429;1764842010454;1.0;3
124066030611096;1764842010454;1.0;3
