t_Android;t_unix;x;y;z;a
126606901139110;1764844550910;-4.664426;2.7348638;0.6897531;3
126606906109683;1764844550910;-4.664426;2.7348638;0.6897531;3
126606911080256;1764844550910;-4.664426;2.7348638;0.6897531;3
126606916050829;1764844550910;-4.664426;2.7348638;0.6897531;3
126606921021402;1764844550910;-4.664426;2.7348638;0.6897531;3
126606925991975;1764844550910;-4.664426;2.7348638;0.6897531;3
126606930962548;1764844550910;-4.664426;2.7348638;0.6897531;3
126606935933121;1764844550910;-4.664426;2.7348638;0.6897531;3
126606940903694;1764844550910;-4.664426;2.7348638;0.6897531;3
126606945874267;1764844550910;-4.664426;2.7348638;0.6897531;3
126606950844839;1764844550910;-4.664426;2.7348638;0.6897531;3
126606955815412;1764844550910;-4.664426;2.7348638;0.6897531;3
126606960785985;1764844550910;-4.664426;2.7348638;0.6897531;3
126606965756558;1764844550923;-4.664426;2.7348638;0.6897531;3
126606970727131;1764844550923;-4.664426;2.7348638;0.6897531;3
126606975697704;1764844550923;-4.664426;2.7348638;0.6897531;3
126606980668277;1764844550927;-4.664426;2.7348638;0.6897531;3
126606985638850;1764844550933;-4.664426;2.7348638;0.6897531;3
126606990609423;1764844550937;-4.664426;2.7348638;0.6897531;3
126606995579996;1764844550944;-4.664426;2.7348638;0.6897531;3
126607000550569;1764844550946;-4.664426;2.7348638;0.6897531;3
126607005521142;1764844550952;-4.664426;2.7348638;0.6897531;3
126607010491871;1764844550956;-4.664426;2.7348638;0.6897531;3
126607015462704;1764844550962;-4.664426;2.7348638;0.6897531;3
126607020433537;1764844550965;-4.664426;2.7348638;0.6897531;3
126607025404371;1764844550972;-4.664426;2.7348638;0.6897531;3
126607030375204;1764844550975;-4.664426;2.7348638;0.6897531;3
126607035346037;1764844550982;-4.664426;2.7348638;0.6897531;3
126607040316871;1764844550985;-4.664426;2.7348638;0.6897531;3
126607045287704;1764844550991;-4.664426;2.7348638;0.6897531;3
126607050258537;1764844550995;-4.664426;2.7348638;0.6897531;3
126607055229371;1764844551001;-4.664426;2.7348638;0.6897531;3
126607060200204;1764844551005;-4.664426;2.7348638;0.6897531;3
126607065171037;1764844551011;-4.664426;2.7348638;0.6897531;3
126607070141871;1764844551015;-4.664426;2.7348638;0.6897531;3
126607075112704;1764844551022;-4.664426;2.7348638;0.6897531;3
126607080083537;1764844551025;-4.664426;2.7348638;0.6897531;3
126607085054371;1764844551031;-4.664426;2.7348638;0.6897531;3
126607090025204;1764844551035;-4.664426;2.7348638;0.6897531;3
126607094995829;1764844551041;-4.664426;2.7348638;0.6897531;3
126607099966402;1764844551045;-4.664426;2.7348638;0.6897531;3
126607104936975;1764844551051;-4.664426;2.7348638;0.6897531;3
126607109907548;1764844551055;-4.664426;2.7348638;0.6897531;3
126607114878121;1764844551061;-4.664426;2.7348638;0.6897531;3
126607119848694;1764844551065;-4.664426;2.7348638;0.6897531;3
126607124819267;1764844551071;-4.664426;2.7348638;0.6897531;3
126607129789839;1764844551074;-4.664426;2.7348638;0.6897531;3
126607134760412;1764844551081;-4.664426;2.7348638;0.6897531;3
126607139730985;1764844551085;-4.664426;2.7348638;0.6897531;3
126607144701558;1764844551091;-4.664426;2.7348638;0.6897531;3
126607149672131;1764844551094;-4.664426;2.7348638;0.6897531;3
126607154642704;1764844551100;-4.664426;2.7348638;0.6897531;3
126607159613277;1764844551104;-4.664426;2.7348638;0.6897531;3
126607164583850;1764844551110;-4.664426;2.7348638;0.6897531;3
126607169554423;1764844551114;-4.664426;2.7348638;0.6897531;3
126607174524996;1764844551124;-4.664426;2.7348638;0.6897531;3
126607179495569;1764844551124;-4.664426;2.7348638;0.6897531;3
126607184466142;1764844551130;-4.664426;2.7348638;0.6897531;3
126607189436714;1764844551134;-4.664426;2.7348638;0.6897531;3
126607194407287;1764844551141;-4.664426;2.7348638;0.6897531;3
126607199377860;1764844551144;-4.664426;2.7348638;0.6897531;3
126607204348433;1764844551150;-4.664426;2.7348638;0.6897531;3
126607209319162;1764844551161;-4.664426;2.7348638;0.6897531;3
