t_Android;t_unix;x;y;z;a
126606901139110;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606906109683;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606911080256;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606916050829;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606921021402;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606925991975;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606930962548;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606935933121;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606940903694;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606945874267;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606950844839;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606955815412;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606960785985;1764844550910;-1.0043036;-9.711506;0.9210941;3
126606965756558;1764844550923;-1.0043036;-9.711506;0.9210941;3
126606970727131;1764844550923;-1.0043036;-9.711506;0.9210941;3
126606975697704;1764844550923;-1.0043036;-9.711506;0.9210941;3
126606980668277;1764844550927;-1.0043036;-9.711506;0.9210941;3
126606985638850;1764844550933;-1.0043036;-9.711506;0.9210941;3
126606990609423;1764844550937;-1.0043036;-9.711506;0.9210941;3
126606995579996;1764844550944;-1.0043036;-9.711506;0.9210941;3
126607000550569;1764844550946;-1.0043036;-9.711506;0.9210941;3
126607005521142;1764844550952;-1.0043036;-9.711506;0.9210941;3
126607010491871;1764844550956;-1.0043036;-9.711506;0.9210941;3
126607015462704;1764844550962;-1.0043036;-9.711506;0.9210941;3
126607020433537;1764844550965;-1.0043036;-9.711506;0.9210941;3
126607025404371;1764844550972;-1.0043036;-9.711506;0.9210941;3
126607030375204;1764844550975;-1.0043036;-9.711506;0.9210941;3
126607035346037;1764844550982;-1.0043036;-9.711506;0.9210941;3
126607040316871;1764844550985;-1.0043036;-9.711506;0.9210941;3
126607045287704;1764844550991;-1.0043036;-9.711506;0.9210941;3
126607050258537;1764844550996;-1.0043036;-9.711506;0.9210941;3
126607055229371;1764844551001;-1.0043036;-9.711506;0.9210941;3
126607060200204;1764844551005;-1.0043036;-9.711506;0.9210941;3
126607065171037;1764844551011;-1.0043036;-9.711506;0.9210941;3
126607070141871;1764844551015;-1.0043036;-9.711506;0.9210941;3
126607075112704;1764844551022;-1.0043036;-9.711506;0.9210941;3
126607080083537;1764844551025;-1.0043036;-9.711506;0.9210941;3
126607085054371;1764844551031;-1.0043036;-9.711506;0.9210941;3
126607090025204;1764844551035;-1.0043036;-9.711506;0.9210941;3
126607094995829;1764844551041;-1.0043036;-9.711506;0.9210941;3
126607099966402;1764844551045;-1.0043036;-9.711506;0.9210941;3
126607104936975;1764844551051;-1.0043036;-9.711506;0.9210941;3
126607109907548;1764844551055;-1.0043036;-9.711506;0.9210941;3
126607114878121;1764844551061;-1.0043036;-9.711506;0.9210941;3
126607119848694;1764844551065;-1.0043036;-9.711506;0.9210941;3
126607124819267;1764844551071;-1.0043036;-9.711506;0.9210941;3
126607129789839;1764844551074;-1.0043036;-9.711506;0.9210941;3
126607134760412;1764844551081;-1.0043036;-9.711506;0.9210941;3
126607139730985;1764844551085;-1.0043036;-9.711506;0.9210941;3
126607144701558;1764844551091;-1.0043036;-9.711506;0.9210941;3
126607149672131;1764844551095;-1.0043036;-9.711506;0.9210941;3
126607154642704;1764844551100;-1.0043036;-9.711506;0.9210941;3
126607159613277;1764844551105;-1.0043036;-9.711506;0.9210941;3
126607164583850;1764844551110;-1.0043036;-9.711506;0.9210941;3
126607169554423;1764844551115;-1.0043036;-9.711506;0.9210941;3
126607174524996;1764844551124;-1.0043036;-9.711506;0.9210941;3
126607179495569;1764844551125;-1.0043036;-9.711506;0.9210941;3
126607184466142;1764844551130;-1.0043036;-9.711506;0.9210941;3
126607189436714;1764844551134;-1.0043036;-9.711506;0.9210941;3
126607194407287;1764844551141;-1.0043036;-9.711506;0.9210941;3
126607199377860;1764844551144;-1.0043036;-9.711506;0.9210941;3
126607204348433;1764844551151;-1.0043036;-9.711506;0.9210941;3
126607209319162;1764844551161;-1.0043036;-9.711506;0.9210941;3
126607214289996;1764844551161;-1.0043036;-9.711506;0.9210941;3
126607219260829;1764844551164;-1.0043036;-9.711506;0.9210941;3
126607224231662;1764844551170;-1.0043036;-9.711506;0.9210941;3
126607229202496;1764844551177;-1.0043036;-9.711506;0.9210941;3
126607234173329;1764844551180;-1.0043036;-9.711506;0.9210941;3
126607239144162;1764844551184;-1.0043036;-9.711506;0.9210941;3
126607244114996;1764844551191;-1.0043036;-9.711506;0.9210941;3
126607249085829;1764844551194;-1.0043036;-9.711506;0.9210941;3
126607254056662;1764844551200;-1.0043036;-9.711506;0.9210941;3
126607259027496;1764844551205;-1.0043036;-9.711506;0.9210941;3
126607263998329;1764844551210;-1.0043036;-9.711506;0.9210941;3
126607268969162;1764844551214;-1.0043036;-9.711506;0.9210941;3
126607273939996;1764844551221;-1.0043036;-9.711506;0.9210941;3
126607278910829;1764844551224;-1.0043036;-9.711506;0.9210941;3
126607283881662;1764844551232;-1.0043036;-9.711506;0.9210941;3
126607288852496;1764844551234;-1.0043036;-9.711506;0.9210941;3
126607293823121;1764844551240;-1.0043036;-9.711506;0.9210941;3
126607298793694;1764844551244;-1.0043036;-9.711506;0.9210941;3
126607303764267;1764844551250;-1.0043036;-9.711506;0.9210941;3
126607308734839;1764844551255;-1.0043036;-9.711506;0.9210941;3
126607313705412;1764844551260;-1.0043036;-9.711506;0.9210941;3
126607318675985;1764844551264;-1.0043036;-9.711506;0.9210941;3
126607323646558;1764844551271;-1.0043036;-9.711506;0.9210941;3
126607328617131;1764844551274;-1.0043036;-9.711506;0.9210941;3
126607333587704;1764844551280;-1.0043036;-9.711506;0.9210941;3
126607338558277;1764844551284;-1.0043036;-9.711506;0.9210941;3
126607343528850;1764844551290;-1.0043036;-9.711506;0.9210941;3
126607348499423;1764844551294;-1.0043036;-9.711506;0.9210941;3
126607353469996;1764844551300;-1.0043036;-9.711506;0.9210941;3
126607358440569;1764844551304;-1.0043036;-9.711506;0.9210941;3
126607363411142;1764844551310;-1.0043036;-9.711506;0.9210941;3
126607368381714;1764844551313;-1.0043036;-9.711506;0.9210941;3
126607373352287;1764844551320;-1.0043036;-9.711506;0.9210941;3
126607378322860;1764844551324;-1.0043036;-9.711506;0.9210941;3
126607383293433;1764844551330;-1.0043036;-9.711506;0.9210941;3
126607388264006;1764844551335;-1.0043036;-9.711506;0.9210941;3
126607393234579;1764844551340;-1.0043036;-9.711506;0.9210941;3
126607398205152;1764844551344;-1.0043036;-9.711506;0.9210941;3
126607403175725;1764844551350;-1.0043036;-9.711506;0.9210941;3
126607408146298;1764844551359;-1.0043036;-9.711506;0.9210941;3
126607413117079;1764844551360;-1.0043036;-9.711506;0.9210941;3
126607418087912;1764844551363;-1.0043036;-9.711506;0.9210941;3
126607423058746;1764844551371;-1.0043036;-9.711506;0.9210941;3
126607428029579;1764844551376;-1.0043036;-9.711506;0.9210941;3
126607433000412;1764844551379;-1.0043036;-9.711506;0.9210941;3
126607437971246;1764844551383;-1.0043036;-9.711506;0.9210941;3
126607442942079;1764844551392;-1.0043036;-9.711506;0.9210941;3
126607447912912;1764844551394;-1.0043036;-9.711506;0.9210941;3
126607452883746;1764844551399;-1.0043036;-9.711506;0.9210941;3
126607457854579;1764844551408;-1.0043036;-9.711506;0.9210941;3
126607462825412;1764844551409;-1.0043036;-9.711506;0.9210941;3
126607467796246;1764844551412;-1.0043036;-9.711506;0.9210941;3
126607472767079;1764844551419;-1.0043036;-9.711506;0.9210941;3
126607477737912;1764844551425;-1.0043036;-9.711506;0.9210941;3
126607482708746;1764844551429;-1.0043036;-9.711506;0.9210941;3
126607487679579;1764844551433;-1.0043036;-9.711506;0.9210941;3
126607492650412;1764844551442;-1.0043036;-9.711506;0.9210941;3
126607497620985;1764844551443;-1.0043036;-9.711506;0.9210941;3
126607502591558;1764844551448;-1.0043036;-9.711506;0.9210941;3
126607507562131;1764844551454;-1.0043036;-9.711506;0.9210941;3
126607512532704;1764844551459;-1.0043036;-9.711506;0.9210941;3
126607517503277;1764844551462;-1.0043036;-9.711506;0.9210941;3
126607522473850;1764844551468;-1.0043036;-9.711506;0.9210941;3
126607527444423;1764844551473;-1.0043036;-9.711506;0.9210941;3
126607532414996;1764844551478;-1.0043036;-9.711506;0.9210941;3
126607537385569;1764844551482;-1.0043036;-9.711506;0.9210941;3
126607542356142;1764844551489;-1.0043036;-9.711506;0.9210941;3
126607547326714;1764844551493;-1.0043036;-9.711506;0.9210941;3
126607552297287;1764844551498;-1.0043036;-9.711506;0.9210941;3
126607557267860;1764844551504;-1.0043036;-9.711506;0.9210941;3
126607562238433;1764844551509;-1.0043036;-9.711506;0.9210941;3
126607567209006;1764844551513;-1.0043036;-9.711506;0.9210941;3
126607572179579;1764844551519;-1.0043036;-9.711506;0.9210941;3
126607577150152;1764844551523;-1.0043036;-9.711506;0.9210941;3
126607582120725;1764844551528;-1.0043036;-9.711506;0.9210941;3
126607587091298;1764844551532;-1.0043036;-9.711506;0.9210941;3
126607592061871;1764844551538;-1.0043036;-9.711506;0.9210941;3
126607597032444;1764844551543;-1.0043036;-9.711506;0.9210941;3
126607602003017;1764844551548;-1.0043036;-9.711506;0.9210941;3
126607606973589;1764844551553;-1.0043036;-9.711506;0.9210941;3
126607611944162;1764844551560;-1.0043036;-9.711506;0.9210941;3
126607616914996;1764844551562;-1.0043036;-9.711506;0.9210941;3
126607621885829;1764844551580;-1.0043036;-9.711506;0.9210941;3
126607626856662;1764844551580;-1.0043036;-9.711506;0.9210941;3
126607631827496;1764844551580;-1.0043036;-9.711506;0.9210941;3
126607636798329;1764844551582;-1.0043036;-9.711506;0.9210941;3
126607641769162;1764844551588;-1.0043036;-9.711506;0.9210941;3
126607646739996;1764844551592;-1.0043036;-9.711506;0.9210941;3
126607651710829;1764844551598;-1.0043036;-9.711506;0.9210941;3
126607656681662;1764844551601;-1.0043036;-9.711506;0.9210941;3
126607661652496;1764844551608;-1.0043036;-9.711506;0.9210941;3
126607666623329;1764844551611;-1.0043036;-9.711506;0.9210941;3
126607671594162;1764844551618;-1.0043036;-9.711506;0.9210941;3
126607676564996;1764844551622;-1.0043036;-9.711506;0.9210941;3
126607681535829;1764844551628;-1.0043036;-9.711506;0.9210941;3
126607686506662;1764844551632;-1.0043036;-9.711506;0.9210941;3
126607691477496;1764844551638;-1.0043036;-9.711506;0.9210941;3
126607696448173;1764844551642;-1.0043036;-9.711506;0.9210941;3
126607701418746;1764844551648;-1.0043036;-9.711506;0.9210941;3
126607706389319;1764844551654;-1.0043036;-9.711506;0.9210941;3
126607711359892;1764844551659;-1.0043036;-9.711506;0.9210941;3
126607716330464;1764844551662;-1.0043036;-9.711506;0.9210941;3
126607721301037;1764844551668;-1.0043036;-9.711506;0.9210941;3
126607726271610;1764844551672;-1.0043036;-9.711506;0.9210941;3
126607731242183;1764844551679;-1.0043036;-9.711506;0.9210941;3
126607736212756;1764844551682;-1.0043036;-9.711506;0.9210941;3
126607741183329;1764844551688;-1.0043036;-9.711506;0.9210941;3
126607746153902;1764844551692;-1.0043036;-9.711506;0.9210941;3
126607751124475;1764844551697;-1.0043036;-9.711506;0.9210941;3
126607756095048;1764844551701;-1.0043036;-9.711506;0.9210941;3
126607761065621;1764844551709;-1.0043036;-9.711506;0.9210941;3
126607766036194;1764844551712;-1.0043036;-9.711506;0.9210941;3
126607771006767;1764844551717;-1.0043036;-9.711506;0.9210941;3
126607775977339;1764844551732;-1.0043036;-9.711506;0.9210941;3
126607780947912;1764844551732;-1.0043036;-9.711506;0.9210941;3
126607785918485;1764844551732;-1.0043036;-9.711506;0.9210941;3
126607790889058;1764844551751;-1.0043036;-9.711506;0.9210941;3
126607795859631;1764844551751;-1.0043036;-9.711506;0.9210941;3
126607800830204;1764844551751;-1.0043036;-9.711506;0.9210941;3
126607805800777;1764844551751;-1.0043036;-9.711506;0.9210941;3
126607810771350;1764844551757;-1.0043036;-9.711506;0.9210941;3
126607815742183;1764844551761;-1.0043036;-9.711506;0.9210941;3
126607820713017;1764844551768;-1.0043036;-9.711506;0.9210941;3
126607825683850;1764844551775;-1.0043036;-9.711506;0.9210941;3
126607830654683;1764844551779;-1.0043036;-9.711506;0.9210941;3
126607835625517;1764844551781;-1.0043036;-9.711506;0.9210941;3
126607840596350;1764844551788;-1.0043036;-9.711506;0.9210941;3
126607845567183;1764844551791;-1.0043036;-9.711506;0.9210941;3
126607850538017;1764844551797;-1.0043036;-9.711506;0.9210941;3
126607855508850;1764844551802;-1.0043036;-9.711506;0.9210941;3
126607860479683;1764844551807;-1.0043036;-9.711506;0.9210941;3
126607865450517;1764844551811;-1.0043036;-9.711506;0.9210941;3
126607870421350;1764844551817;-1.0043036;-9.711506;0.9210941;3
126607875392183;1764844551820;-1.0043036;-9.711506;0.9210941;3
126607880363017;1764844551827;-1.0043036;-9.711506;0.9210941;3
126607885333850;1764844551831;-1.0043036;-9.711506;0.9210941;3
126607890304683;1764844551837;-1.0043036;-9.711506;0.9210941;3
126607895275517;1764844551841;-1.0043036;-9.711506;0.9210941;3
126607900246142;1764844551846;-1.0043036;-9.711506;0.9210941;3
126607905216714;1764844551850;-1.0043036;-9.711506;0.9210941;3
126607910187287;1764844551857;-1.0043036;-9.711506;0.9210941;3
126607915157860;1764844551860;-1.0043036;-9.711506;0.9210941;3
126607920128433;1764844551866;-1.0043036;-9.711506;0.9210941;3
126607925099006;1764844551871;-1.0043036;-9.711506;0.9210941;3
126607930069579;1764844551877;-1.0043036;-9.711506;0.9210941;3
126607935040152;1764844551881;-1.0043036;-9.711506;0.9210941;3
126607940010725;1764844551888;-1.0043036;-9.711506;0.9210941;3
126607944981298;1764844551890;-1.0043036;-9.711506;0.9210941;3
126607949951871;1764844551897;-1.0043036;-9.711506;0.9210941;3
126607954922444;1764844551901;-1.0043036;-9.711506;0.9210941;3
126607959893017;1764844551907;-1.0043036;-9.711506;0.9210941;3
126607964863589;1764844551910;-1.0043036;-9.711506;0.9210941;3
126607969834162;1764844551917;-1.0043036;-9.711506;0.9210941;3
126607974804735;1764844551922;-1.0043036;-9.711506;0.9210941;3
126607979775308;1764844551926;-1.0043036;-9.711506;0.9210941;3
126607984745881;1764844551930;-1.0043036;-9.711506;0.9210941;3
126607989716454;1764844551938;-1.0043036;-9.711506;0.9210941;3
126607994687027;1764844551940;-1.0043036;-9.711506;0.9210941;3
126607999657600;1764844551946;-1.0043036;-9.711506;0.9210941;3
126608004628173;1764844551950;-1.0043036;-9.711506;0.9210941;3
126608009598746;1764844551956;-1.0043036;-9.711506;0.9210941;3
126608014569475;1764844551959;-1.0043036;-9.711506;0.9210941;3
126608019540308;1764844551967;-1.0043036;-9.711506;0.9210941;3
126608024511142;1764844551971;-1.0043036;-9.711506;0.9210941;3
126608029481975;1764844551977;-1.0043036;-9.711506;0.9210941;3
126608034452808;1764844551980;-1.0043036;-9.711506;0.9210941;3
126608039423642;1764844551987;-1.0043036;-9.711506;0.9210941;3
126608044394475;1764844551989;-1.0043036;-9.711506;0.9210941;3
126608049365308;1764844551997;-1.0043036;-9.711506;0.9210941;3
126608054336142;1764844552000;-1.0043036;-9.711506;0.9210941;3
126608059306975;1764844552006;-1.0043036;-9.711506;0.9210941;3
126608064277808;1764844552010;-1.0043036;-9.711506;0.9210941;3
126608069248642;1764844552016;-1.0043036;-9.711506;0.9210941;3
126608074219475;1764844552020;-1.0043036;-9.711506;0.9210941;3
126608079190308;1764844552026;-1.0043036;-9.711506;0.9210941;3
126608084161142;1764844552029;-1.0043036;-9.711506;0.9210941;3
126608089131975;1764844552036;-1.0043036;-9.711506;0.9210941;3
126608094102808;1764844552039;-1.0043036;-9.711506;0.9210941;3
126608099073537;1764844552046;-1.0043036;-9.711506;0.9210941;3
126608104044110;1764844552050;-1.0043036;-9.711506;0.9210941;3
126608109014683;1764844552057;-1.0043036;-9.711506;0.9210941;3
126608113985256;1764844552059;-1.0043036;-9.711506;0.9210941;3
126608118955829;1764844552066;-1.0043036;-9.711506;0.9210941;3
126608123926402;1764844552070;-1.0043036;-9.711506;0.9210941;3
126608128896975;1764844552076;-1.0043036;-9.711506;0.9210941;3
126608133867548;1764844552080;-1.0043036;-9.711506;0.9210941;3
126608138838121;1764844552086;-1.0043036;-9.711506;0.9210941;3
126608143808694;1764844552090;-1.0043036;-9.711506;0.9210941;3
126608148779267;1764844552096;-1.0043036;-9.711506;0.9210941;3
126608153749839;1764844552098;-1.0043036;-9.711506;0.9210941;3
126608158720412;1764844552107;-1.0043036;-9.711506;0.9210941;3
126608163690985;1764844552110;-1.0043036;-9.711506;0.9210941;3
126608168661558;1764844552116;-1.0043036;-9.711506;0.9210941;3
126608173632131;1764844552121;-1.0043036;-9.711506;0.9210941;3
126608178602704;1764844552125;-1.0043036;-9.711506;0.9210941;3
126608183573277;1764844552129;-1.0043036;-9.711506;0.9210941;3
126608188543850;1764844552136;-1.0043036;-9.711506;0.9210941;3
126608193514423;1764844552139;-1.0043036;-9.711506;0.9210941;3
126608198484996;1764844552145;-1.0043036;-9.711506;0.9210941;3
126608203455569;1764844552149;-1.0043036;-9.711506;0.9210941;3
126608208426246;1764844552156;-1.0043036;-9.711506;0.9210941;3
126608213397079;1764844552159;-1.0043036;-9.711506;0.9210941;3
126608218367912;1764844552165;-1.0043036;-9.711506;0.9210941;3
126608223338746;1764844552168;-1.0043036;-9.711506;0.9210941;3
126608228309579;1764844552175;-1.0043036;-9.711506;0.9210941;3
126608233280412;1764844552180;-1.0043036;-9.711506;0.9210941;3
126608238251246;1764844552186;-1.0043036;-9.711506;0.9210941;3
126608243222079;1764844552189;-1.0043036;-9.711506;0.9210941;3
126608248192912;1764844552195;-1.0043036;-9.711506;0.9210941;3
126608253163746;1764844552198;-1.0043036;-9.711506;0.9210941;3
126608258134579;1764844552205;-1.0043036;-9.711506;0.9210941;3
126608263105412;1764844552208;-1.0043036;-9.711506;0.9210941;3
126608268076246;1764844552215;-1.0043036;-9.711506;0.9210941;3
126608273047079;1764844552218;-1.0043036;-9.711506;0.9210941;3
126608278017912;1764844552225;-1.0043036;-9.711506;0.9210941;3
126608282988746;1764844552228;-1.0043036;-9.711506;0.9210941;3
126608287959579;1764844552239;-1.0043036;-9.711506;0.9210941;3
126608292930412;1764844552239;-1.0043036;-9.711506;0.9210941;3
126608297901037;1764844552244;-1.0043036;-9.711506;0.9210941;3
126608302871610;1764844552248;-1.0043036;-9.711506;0.9210941;3
126608307842183;1764844552255;-1.0043036;-9.711506;0.9210941;3
126608312812756;1764844552257;-1.0043036;-9.711506;0.9210941;3
126608317783329;1764844552265;-1.0043036;-9.711506;0.9210941;3
126608322753902;1764844552269;-1.0043036;-9.711506;0.9210941;3
126608327724475;1764844552274;-1.0043036;-9.711506;0.9210941;3
126608332695048;1764844552280;-1.0043036;-9.711506;0.9210941;3
126608337665621;1764844552285;-1.0043036;-9.711506;0.9210941;3
126608342636194;1764844552288;-1.0043036;-9.711506;0.9210941;3
126608347606767;1764844552294;-1.0043036;-9.711506;0.9210941;3
126608352577339;1764844552297;-1.0043036;-9.711506;0.9210941;3
126608357547912;1764844552305;-1.0043036;-9.711506;0.9210941;3
126608362518485;1764844552308;-1.0043036;-9.711506;0.9210941;3
126608367489058;1764844552314;-1.0043036;-9.711506;0.9210941;3
126608372459631;1764844552319;-1.0043036;-9.711506;0.9210941;3
126608377430204;1764844552324;-1.0043036;-9.711506;0.9210941;3
126608382400777;1764844552328;-1.0043036;-9.711506;0.9210941;3
126608387371350;1764844552334;-1.0043036;-9.711506;0.9210941;3
126608392341923;1764844552338;-1.0043036;-9.711506;0.9210941;3
126608397312496;1764844552346;-1.0043036;-9.711506;0.9210941;3
