t_Android;t_unix;steps;a
126606639377027;1764844550848;23545.0;3
126607627026142;1764844551579;23545.0;3
126608620935673;1764844552574;23545.0;3
126615580103798;1764844559527;23545.0;3
126621047880621;1764844565004;23570.0;3
126621544972131;1764844565506;23570.0;3
126622042073850;1764844565987;23570.0;3
126622539166298;1764844566491;23570.0;3
126623036367964;1764844566991;23570.0;3
126623533395725;1764844567496;23570.0;3
126624030571506;1764844567976;23570.0;3
126624527635152;1764844568471;23570.0;3
126625024708485;1764844568974;23570.0;3
126625521826714;1764844569481;23570.0;3
126626018938225;1764844569980;23570.0;3
126626516890204;1764844570462;23570.0;3
126627013159527;1764844570963;23589.0;3
126627510290933;1764844571460;23589.0;3
126628007461246;1764844571959;23589.0;3
126628504527600;1764844572463;23589.0;3
126629001634475;1764844572970;23589.0;3
126629498753746;1764844573464;23589.0;3
126630493010308;1764844574455;23589.0;3
126630990131298;1764844574941;23589.0;3
126631487301923;1764844575461;23589.0;3
126631984373850;1764844575935;23589.0;3
126632481492079;1764844576442;23589.0;3
126632978612652;1764844576936;23589.0;3
126633476575621;1764844577431;23589.0;3
126633972860464;1764844577922;23589.0;3
126634469978850;1764844578425;23589.0;3
126635464227756;1764844579428;23589.0;3
126635961340412;1764844579932;23589.0;3
126636458477652;1764844580403;23589.0;3
126636956172600;1764844580901;23608.0;3
126637452731610;1764844581406;23608.0;3
126637949844631;1764844581900;23608.0;3
126638447031506;1764844582408;23608.0;3
126638944087548;1764844582895;23608.0;3
126639441211558;1764844583401;23608.0;3
126639938364735;1764844583898;23608.0;3
126640932584371;1764844584879;23608.0;3
126641429696246;1764844585385;23608.0;3
126641927103017;1764844585880;23608.0;3
126642423946194;1764844586392;23608.0;3
126642921071923;1764844586870;23608.0;3
126643418193746;1764844587375;23608.0;3
126643915316350;1764844587870;23608.0;3
126644412423954;1764844588360;23608.0;3
126644909563433;1764844588854;23608.0;3
126645407347652;1764844589363;23608.0;3
126645903816558;1764844589858;23608.0;3
126646400924579;1764844590354;23608.0;3
126646898057496;1764844590845;23627.0;3
126647395192079;1764844591349;23627.0;3
126647892313381;1764844591846;23627.0;3
126648389448798;1764844592334;23627.0;3
126648887177287;1764844592839;23627.0;3
126649383684319;1764844593353;23627.0;3
126650377936923;1764844594338;23627.0;3
126650875083746;1764844594829;23627.0;3
126651372202131;1764844595325;23627.0;3
126651869327392;1764844595827;23627.0;3
126652366457964;1764844596323;23627.0;3
126652863587600;1764844596821;23627.0;3
126653360715725;1764844597316;23627.0;3
126653857844423;1764844597807;23627.0;3
126654354950256;1764844598300;23627.0;3
126654852104892;1764844598806;23627.0;3
126655349226975;1764844599294;23627.0;3
126655846372079;1764844599798;23627.0;3
126656343484371;1764844600293;23627.0;3
126656840599631;1764844600810;23648.0;3
126657337736871;1764844601283;23648.0;3
126657834863069;1764844601785;23648.0;3
126658331980777;1764844602291;23648.0;3
126658829111142;1764844602780;23648.0;3
126659327023954;1764844603285;23648.0;3
